सुभाषितम्	विषयः	भाषा	वक्ता	स्रोतांसि	रस्यता	रसः। भावः	विवरणम्	सङ्केतः	छन्दः	अर्थालङ्काराः	शब्दालङ्काराः	स्मरणीय-पदानि
दण्डः शास्ति प्रजाः सर्वाः दण्ड एवाभिरक्षति। दण्डः सुप्तेषु जागर्ति दण्डं धर्मं विदुर्बुधाः।। 	दण्डः											
माता नास्ति पिता नास्ति नास्ति बन्धुः सहोदराः। अर्थो नास्ति गृहं नास्ति तस्माज्जाग्रत जाग्रत॥	मृत्युः, ब्रह्म											
 न गन्धिकमपेक्षते विकसनाय पुष्पावली वनेऽप्युपवनेऽप्यसौ समतया समुन्मीलति । तमोऽपहरुचाऽनिशं भृशमसौ ज्वलन्त्यानिशं न दीपयति दीपिका शलभलोभवृद्ध्यै गृहम् ॥ तथैव कविता कवेः सुकृतिनः क्वचिन्मानसान् मुखाब्जमभिसंगता हृदयभावनोद्वेलनैः । अलौकिकरसान्विता भवति या सुपूर्णा स्वतः न सा क्वचिदपेक्षते न रसिकान् न वाऽऽलोचकान् ॥	रसिकः, कविः, स्तुति-वैमुख्यम्											
 आदौ गमिष्यतीत्यासीद्गच्छतीत्यभवत्ततः । गत एवाधुना कृष्णो मौनेन मुषिता वयम् ॥	प्रिय-वियोगः											
प्रकाशे सर्वतः क्षीणे तमस्याच्छादयिष्यति। हठात् ध्यायामि तां सद्यः सन्ध्यां सद्ब्राह्मणो यथा॥	सन्ध्या-वन्दनम्, प्रिय-वियोगः											
आनन्दनिःस्यन्दिषु रूपकेषु व्युत्पत्तिमात्रं फलमल्पबुद्धिः । योऽपीतिहासादिवदाह साधुस्तस्मै नमः स्वादुपराङ्मुखाय ॥	काव्यम्, काव्य-प्रयोजनम्											
रम्याणि वीक्ष्य मधुरांश्च निशम्य शब्दान् पर्युत्सुको भवति यत्सुखितोऽपि जन्तुः । तच्चेतसा स्मरति नूनमबोधपूर्वं भावस्थिराणि जननान्तरसौहृदानि ॥ 	वासना, पूर्व-जन्म											
रम्याश्चन्द्रमरीचयस्तृणवती रम्या वनान्तःस्थली रम्यः साधुसमागमः शमसुखं काव्येषु रम्याःकथाः । कोपोपाहितबाष्पबिन्दुतरलं रम्यं प्रियाया मुखं सर्वं रम्यमनित्यतामुपगते चित्ते न किञ्चित्पुनः।।	रसिकता, लयः, नाशः, रम्यता											
गते शोको न कर्तव्यो भविष्यं नैव चिन्तयेत्। वर्तमानेन कालेन वर्तयन्ति विचक्षणाः॥ 	चिन्ता, वर्तमान-कालः											
काञ्चने यत्र मृद्भूते कामिन्यस्त्रिदिवौकसाम् । कुतूहलिन्यो भूषासु कुलालान् पर्युपासते ॥	मूल्यम्, विरलता											
वृक्षमूलेऽपि दयिता यस्य तिष्ठति तद् गृहम्। प्रासादोऽपि तया हीनः कान्तारमिति निश्चितम्।।	गार्हस्थ्यम्, पत्नी											
इयं इष्टगुणाय रोचतां रुचिरार्था भवतेऽपि भारती । ननु वक्तृविशेषनिःस्पृहा गुणगृह्या वचने विपश्चितः॥	हितवचन-ग्राहकता											
आस्यासुखं स्वप्नसुखं दधीनि ग्राम्यौदकानूपरसाः पयांसि| नवान्नपानं गुडवैकृतं च प्रमेहहेतुः कफकृच्च सर्वम्||	मधुमेहः											
अगतित्वमतिश्रद्धा ज्ञानाभासेन तृप्तता । त्रयः शिष्यगुणा एते मूर्खाचार्यस्य भाग्यजाः ॥	छात्रः, गुरुभक्तिः, गुरुः											
द्राक्षाम्लानमुखी जाता शर्करा चाऽश्मतां गता। सुभाषितरसास्वादात् सुधा भीता दिवं गता ।।	सुभाषितम्											
सन्तोषाऽमृततृप्तानां यत्सुखं शान्ततेजसाम्। कुतस्तद्धनलुब्धानामितश्चेतश्च धावताम् ।। 	परम-आनन्दः											
भाषासु मुख्या मधुरा दिव्या गीर्वाणभारती। तस्यां हि काव्यम् मधुरन् तस्मादपि सुभाषितम् ।।	संस्कृतम्											
नाऽऽत्मानमवमन्येत पूर्वाभिरसमृद्धिभिः। आमृत्योः श्रियमन्विच्छेन् नैनाम् मन्येत दुर्लभाम्।।	अर्थः, पुरुषकारः											
पृथिव्यां त्रीणि रत‍्नानि जलमन्नं सुभाषितम् । मूढै: पाषाणखण्डेषु रत्नसञ्ज्ञा विधीयते।।	सुभाषितम्											
लुब्धस्य नश्यति यशः पिशुनस्य मैत्री नष्टक्रियस्य कुलमर्थपरस्य धर्मः। विद्याफलं व्यसनिनः कृपणस्य सौख्यं राज्यम् प्रमत्तसचिवस्य नराधिपस्य।।	बुद्धिनाशः, लोभः, कुराज्यम्, धर्मः, पिशुनः, कृपणः, सुखम्											
गोभिर्विप्रैश्च वेदैश्च सतीभिः सत्यवादिभिः। अलुब्धैर्दानशीलैश्च सप्तभिर्धार्यते मही ॥	गौः, वेदाः, ब्राह्मणः, सत्यम्, अप्ररिग्रहः											
 इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते | एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् || 	कामः											
गोपाल ! नानाविषये चरन्ती- र्निवर्तयन् दण्डभयेन मे गाः | नीत्वा निजं धाम बधान तस्मिन् विश्रान्तिरासां भवतादनन्ता ||	दमः		महेशभट्टः									
धिक्कुर्याः श्वशुरौ कुरु प्रियनटीवृत्तिं ननान्दृव्रजे । भर्तुर्विप्रकृता तु रोषणतया छद्मोपवासं कुरु । भूयिष्ठं भव निष्ठुरा परिजने भाग्येष्वहंवादिनी यान्त्येवं गृहिणीपदं युवतयो दक्षाः शिरोव्याधयः ॥	स्त्रीशोषण-वादः		पॆजत्ताय-रामकृष्णः									
यत्र तुष्यति भर्त्रा स्त्री स्त्रिया भर्ता च तुष्यति । तत्र वेश्मनि कल्याणं सम्पद्येत पदेपदे ।। 	गार्हस्थ्यम्											
व्याकरणसूत्रजालं कण्ठस्थीकर्तुमिच्छतः शम्भो । शक्तिं मे विश्राणय कण्ठस्थीकृतविषोरगो हि त्वम् ॥	वैयाकरणः											
टिढ्ढाणञ्द्वयसच्चुटू ङसिङसोस्तिप्तस्झिसिप्थस्थमि- ब्वस्मस्तानचि च ष्टुना ष्टुरत इञ् शश्छोऽट्यचोऽन्त्यादि टि । लोपो व्योर्वलि वृद्धिरेचि यचि भं दाधा घ्वदाम्नाज्झला- वित्येते दिवसान्नयन्ति कतिचिच्छब्दान् पठन्तः कटून् ॥	वैयाकरणः											
पथ्ये सति गदार्तस्य किमौषधनिषेवणैः । पथ्येऽसति गदार्तस्य किमौषधनिषेवणैः ।।	भोजनम्, चिकित्सा											
न लोभान् नाप्यविज्ञानाद्             आहारमुपयोजयेत् ।  परीक्ष्य हितमश्नीयाद्        देहो ह्याहारसम्भव:।।	भोजनम्											
धूमेनाव्रियते वह्निर्यथादर्शो मलेन च | यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् ||	ज्ञानम्, विपर्ययः											
विद्या विवादाय धनं मदाय खलस्य शक्तिः परपीडनाय। साधोस्तु सर्वं विपरीतमेतद् ज्ञानाय दानाय च रक्षणाय॥	खलः, सज्जनः											
ब्राह्मणस्य हि देहो,यं क्षुद्रकामाय नेष्यते। त्रैलोक्यरत्नभूतायां तस्मादस्यां रतिर्मम।।	स्त्री-सौन्दर्यम्		बलराम-शुक्लः									
